question,document
Is there a way to disable the +1/-1 buttons until the ask button has been used?,2e729f1271
Why does the session state attribute get reassigned even though a feedback button was clicked?,2e729f1271
Can someone explain the solution for the feedback button being enabled after submission in Streamlit?,2e729f1271
"I'm getting an 'executable file not found' error when I try to run my Streamlit app with docker-compose, but it works fine on my host. What could be wrong?",e8df9f0d12
How do I make sure the streamlit binary is present in my Docker container when using compose?,e8df9f0d12
My compose file throws 'exec: streamlit: unknown' when starting the app. What do I need to add or change?,e8df9f0d12
"If Streamlit runs outside Docker but not inside compose, what's usually the issue?",e8df9f0d12
"Once I've added streamlit to my compose config, what command rebuilds everything so it starts correctly?",e8df9f0d12
Can I work on the capstone with a partner or team?,0fab61eca2
Is collaboration allowed if I submit my own project?,0fab61eca2
Do we need separate repositories for each team member?,0fab61eca2
What happens if our project can’t be evaluated independently?,0fab61eca2
How does the course handle shared systems among students?,0fab61eca2
Can I submit two projects?,d5fc98925d
What happens if my first submission fails?,d5fc98925d
Do I need to re‑submit for attempt 2?,d5fc98925d
Can I use the same dataset for both attempts?,d5fc98925d
Does not doing peer‑review affect certification?,d5fc98925d
Can I submit the Kaggle competition entry as my capstone project?,e892d44e42
Are teams allowed for the math-kaggle-llm-competition?,e892d44e42
Will participating in the competition replace the individual capstone requirement?,e892d44e42
What is the difference between the capstone project and the competition?,e892d44e42
Is the competition considered part of the course assessment?,e892d44e42
How will my capstone project be graded?,9a2e2d2008
Who will evaluate my project?,9a2e2d2008
What happens if I don't grade others' projects?,9a2e2d2008
How is the final score determined?,9a2e2d2008
What are the peer review guidelines I need to follow?,9a2e2d2008
When will the Excel sheet with project assignments be shared after we finish our submissions?,eae0fb50aa
"Will every student always be assigned three projects, or can it vary?",eae0fb50aa
How does the assignment process decide which projects each person receives?,eae0fb50aa
"If I submit after the deadline, will I still get a project to review?",eae0fb50aa
Can I swap projects with someone else after the assignments are posted?,eae0fb50aa
"I've already submitted my capstone, but I can't see any projects to review. What's happening?",a8a7fef016
Why am I not able to choose which projects I evaluate after my submission?,a8a7fef016
When will the instructor release the list of projects I need to review?,a8a7fef016
Is it possible to review projects before the deadline is over?,a8a7fef016
"If I submitted early, can I still review other projects later?",a8a7fef016
Where can I browse ideas for the capstone project?,e76a70cde3
Do you recommend any datasets for the LLM capstone?,e76a70cde3
Is there a GitHub repo with project examples?,e76a70cde3
What tips are provided for choosing a project?,e76a70cde3
Where can I find guidelines for the project?,e76a70cde3
Is a plain Python script sufficient to satisfy the ingestion pipeline requirement for my capstone?,d4f7c08ea1
Do I have to use an orchestrator like Airflow or Kestra to earn full points?,d4f7c08ea1
Will using a Jupyter notebook instead of a script reduce my ingestion points?,d4f7c08ea1
When is it justified to include an orchestrator in my capstone project?,d4f7c08ea1
What are the benefits of adding an orchestrator only if it truly fits my data ingestion needs?,d4f7c08ea1
How can I create synthetic queries to test my RAG model when I don't have real Q&A pairs?,9b0e2d6a47
What metrics should I use to evaluate a retrieval‑augmented generation system if there's no clear ground truth?,9b0e2d6a47
"Can I rely on an LLM to judge the quality of my RAG outputs, and how do I set up the prompt?",9b0e2d6a47
Which ranking metric is better for multi‑item recommendations: hit‑rate or NDCG?,9b0e2d6a47
What steps should I follow to generate user queries from each dataset item for evaluation?,9b0e2d6a47
How do I choose the right chunk size for a large PDF collection?,6f2a8b3d10
Is it better to let an LLM decide where to split documents instead of fixed chunks?,6f2a8b3d10
Can I add a brief LLM‑generated summary to each chunk to improve retrieval?,6f2a8b3d10
What is the advantage of using a hybrid BM25 + dense retrieval for legal or financial PDFs?,6f2a8b3d10
Which Python libraries would help me convert my PDFs into clean Markdown before chunking?,6f2a8b3d10
How can I avoid accidentally committing my API keys to the repo?,e5d8a2c761
What exactly does reproducibility mean for the capstone project?,e5d8a2c761
Should I include a sample .env file and how should I set it up?,e5d8a2c761
"Do I need to provide the exact model used, or is a cheaper alternative acceptable?",e5d8a2c761
How can I ensure the reviewer can rebuild my search index without needing my credentials?,e5d8a2c761
Is it okay to submit my capstone project using Java instead of Python?,ea815eb858
What documentation is required if I write a homework assignment in R?,ea815eb858
Will using JavaScript for the project affect the grading process?,ea815eb858
Do I need to supply OS‑specific instructions when I use a non‑Python stack?,ea815eb858
Are there any limitations on using Go for the final project?,ea815eb858
Where can I view past LLM Zoomcamp capstone projects?,930286278d
How do I find examples of completed LLM Zoomcamp projects from 2024 and 2025?,930286278d
Is there a place to browse earlier LLM Zoomcamp project repositories?,930286278d
Where can I look at previous project submissions for guidance?,930286278d
Which URLs host past LLM Zoomcamp capstone projects?,930286278d
Is it mandatory to register my project idea before kicking off the capstone?,897a350476
Can I drop my idea into Slack to get quick feedback?,897a350476
Where can I find examples of past projects to see what scope looks like?,897a350476
Is it okay to pick a topic that’s similar to what others have done?,897a350476
Do I have to ensure my implementation is unique even if the topic repeats?,897a350476
Can I build my capstone as a WhatsApp bot instead of a web app?,7318a90b14
Do I have to use a web interface for the project?,7318a90b14
Is a CLI or a Jupyter notebook acceptable for the final project?,7318a90b14
Do I need to learn how to make a Slack app for my capstone?,7318a90b14
What evaluation criteria apply if I choose a non-web interface?,7318a90b14
Which libraries are best for extracting text from PDFs in a RAG workflow?,d8b28c47a0
How can I handle OCR for scanned PDFs when building a retrieval‑augmented model?,d8b28c47a0
What tools can I try for converting PDFs to Markdown for my RAG project?,d8b28c47a0
Is there an easy API‑based OCR solution I can use instead of running Tesseract locally?,d8b28c47a0
Can I use PyMuPDF for fast text extraction and then chunk the documents for RAG?,d8b28c47a0
Is it okay to reuse the workshop files in my own capstone?,d850a0e7ea
Can I share the workshop material with my classmates?,d850a0e7ea
Do I need permission to use these resources in other Zoomcamps?,d850a0e7ea
Is the content free to incorporate into personal projects?,d850a0e7ea
Can I distribute the workshop docs to external collaborators?,d850a0e7ea
What is the first command I should run to start a new dlt project when I’m working with cloud data sources?,6bceeebf04
How can I initialize a dlt project that uses a filesystem and DuckDB as the backend?,6bceeebf04
Where can I find a step‑by‑step guide to set up a dlt project for cloud ingestion?,6bceeebf04
"Does the dlt init command support cloud‑based ingestion, and if so, what arguments do I need to provide?",6bceeebf04
Which command do I use to create a new dlt project that works with cloud storage and DuckDB?,6bceeebf04
Why do I see a FileNotFoundError when opening notion_pages___homework?,0407213397
"What step do I miss before calling db.open_table(""notion_pages___homework"")?",0407213397
How can I properly rename employee_handbook to homework in my pipeline?,0407213397
Where exactly do I need to update the table name in my DLT settings?,0407213397
Do I have to use db.create_table if the table already exists?,0407213397
I get a FileNotFoundError: notion_pages___homework when I run main()—what’s wrong?,e95bfafc0e
How can I make db.create_table work for notion_pages___homework?,e95bfafc0e
Why does main() complain that notion_pages___homework doesn’t exist?,e95bfafc0e
What line should I check to open notion_pages___homework correctly?,e95bfafc0e
Is the error due to the table name in line 3 not matching what I created?,e95bfafc0e
Which command shows me every table in my database?,e394e6f738
Is there a way to list all tables using the dlt API?,e394e6f738
How do I get the names of all tables in the database?,e394e6f738
Can I retrieve all table names programmatically?,e394e6f738
What method do I call to see the tables present in the db?,e394e6f738
Does DLT currently support a connector for ClickHouse?,cd19f122f3
Is there any built‑in connector for StarRocks in DLT?,cd19f122f3
Can I contribute a new connector for ClickHouse to the DLT project?,cd19f122f3
What steps are required to add a StarRocks connector in DLT?,cd19f122f3
What is the current status of ClickHouse or StarRocks support in DLT?,cd19f122f3
How do I resolve the 401 Unauthorized error that appears when I run the Notion ingestion notebook?,0dfba07ace
What steps should I follow if my notebook cannot access the Notion API and I see a 401 status code?,0dfba07ace
Why does the notebook return a ‘Client Error: Unauthorized’ when calling the Notion endpoint?,0dfba07ace
My Notion API key is expiring—how can I regenerate it to keep the notebook authenticated?,0dfba07ace
What permissions or scopes are required on the Notion integration to let the notebook read data?,0dfba07ace
"My requests library keeps installing v2.28, but lancedb needs v2.32—how do I get the correct version?",4b30b918bc
Why is pip installing an older requests version than what's required for lancedb?,4b30b918bc
I’m getting a 401 error when using lancedb; could it be a requests version issue?,4b30b918bc
How can I manually install requests v2.32.3 for lancedb compatibility?,4b30b918bc
What’s the fix if my environment only has requests 2.28 but lancedb demands 2.32?,4b30b918bc
